time,ax,ay,az,atotal
2.945,-0.01,0.30,-0.30,0.43
2.955,0.02,0.13,0.04,0.14
2.965,0.02,0.21,-0.06,0.22
2.976,-0.04,-0.08,-0.07,0.11
2.985,-0.02,0.16,-0.37,0.41
2.995,-0.03,0.21,-0.21,0.30
3.005,0.00,0.18,0.11,0.21
3.015,0.01,0.06,-0.13,0.15
3.025,-0.06,-0.11,-0.20,0.23
3.035,-0.02,0.28,-0.28,0.39
3.046,-0.05,0.25,-0.28,0.38
3.055,0.00,0.19,-0.05,0.20
3.065,0.01,0.05,-0.09,0.10
3.075,-0.04,-0.14,-0.06,0.15
3.085,-0.02,0.33,-0.38,0.51
3.095,-0.06,0.15,-0.19,0.25
3.105,-0.00,0.29,-0.09,0.30
3.115,-0.01,-0.03,-0.21,0.22
3.127,-0.04,-0.10,-0.23,0.25
3.135,0.01,0.39,-0.22,0.45
3.145,-0.12,0.72,-0.26,0.78
3.155,0.06,-0.42,-0.25,0.49
3.165,0.05,-0.01,-0.15,0.16
3.175,-0.06,-0.17,-0.24,0.30
3.186,0.01,0.27,-0.26,0.38
3.196,-0.01,0.17,-0.19,0.26
3.205,-0.02,0.23,-0.16,0.28
3.215,-0.02,0.07,-0.19,0.21
3.225,-0.05,-0.11,-0.34,0.37
3.235,0.02,0.28,-0.28,0.40
3.245,-0.02,0.21,-0.21,0.30
3.255,-0.03,0.21,-0.10,0.23
3.265,-0.06,-0.01,-0.17,0.18
3.275,-0.02,-0.14,-0.18,0.23
3.285,-0.03,0.24,-0.35,0.42
3.295,-0.02,0.20,-0.09,0.22
3.305,-0.01,0.26,-0.04,0.27
3.315,-0.07,-0.03,-0.31,0.32
3.325,-0.03,-0.09,-0.32,0.33
3.335,0.00,0.20,-0.40,0.44
3.345,-0.02,0.14,-0.10,0.17
3.355,0.04,0.35,-0.06,0.36
3.365,-0.04,-0.20,-0.31,0.37
3.375,-0.06,0.02,-0.41,0.41
3.385,0.01,0.20,-0.44,0.48
3.395,-0.03,0.06,-0.17,0.18
3.405,0.02,0.38,-0.00,0.38
3.415,-0.06,-0.14,-0.22,0.27
3.425,-0.04,0.01,-0.42,0.43
3.435,0.02,0.22,-0.30,0.37
3.445,-0.02,0.09,-0.08,0.12
3.455,0.01,0.26,-0.03,0.26
3.465,-0.02,-0.13,-0.22,0.25
3.475,-0.03,0.01,-0.36,0.36
3.484,-0.00,0.23,-0.32,0.39
3.495,-0.05,0.05,-0.14,0.16
