# M, Cl, Cd, alpha, BF1, BF2, BF3, BF4
7.667000000000000481e-01,7.460700000000000109e-01,1.811000000000000110e-02,2.600000000000000089e+00,1.141612773895723798e-01,5.899999999999971934e-02,-5.083773974096095216e-03,-3.202999999999999597e-02
7.721999999999999975e-01,6.328899999999999526e-01,1.393999999999999927e-02,2.000000000000000000e+00,5.816636222838345027e-02,-6.700000000000017053e-02,-6.025187658687602976e-02,-4.409999999999999337e-02
7.721999999999999975e-01,6.462599999999999456e-01,1.447999999999999982e-02,2.066699999999999982e+00,6.782019624154855819e-02,-4.800000000000004263e-02,-5.184570402336352579e-02,-4.256000000000000755e-02
7.721999999999999975e-01,6.591399999999999482e-01,1.498999999999999985e-02,2.133300000000000196e+00,7.660591274611205925e-02,-2.700000000000013500e-02,-4.405821297743295339e-02,-4.123999999999999194e-02
7.721999999999999975e-01,6.707999999999999519e-01,1.548000000000000070e-02,2.200000000000000178e+00,8.450195565051465962e-02,-1.000000000000023093e-02,-3.700500477275503464e-02,-3.973000000000000836e-02
7.721999999999999975e-01,6.901100000000000012e-01,1.677999999999999978e-02,2.266700000000000159e+00,8.560615234604784796e-02,4.400000000000003908e-02,-2.238794260112353385e-02,-3.626999999999998975e-02
7.721999999999999975e-01,6.949400000000000022e-01,1.652999999999999955e-02,2.333299999999999930e+00,1.011900616127525687e-01,3.200000000000002842e-02,-2.283302746969351205e-02,-3.632000000000001200e-02
7.721999999999999975e-01,7.174700000000000522e-01,1.821000000000000049e-02,2.399999999999999911e+00,7.997693788209336851e-02,1.410000000000000142e-01,-5.483774904722071852e-03,-2.924000000000000904e-02
7.721999999999999975e-01,7.300299999999999567e-01,1.915000000000000036e-02,2.466699999999999893e+00,9.462415579798122423e-02,1.899999999999999467e-01,1.321347293763208697e-03,-2.577000000000000818e-02
7.721999999999999975e-01,7.404600000000000071e-01,1.976999999999999938e-02,2.533300000000000107e+00,1.020469410717019798e-01,2.239999999999997549e-01,7.032015916298206548e-03,-2.330000000000000820e-02
7.721999999999999975e-01,7.778399999999999759e-01,2.067000000000000087e-02,2.600000000000000089e+00,1.148018390062583993e-01,3.069999999999999396e-01,1.709587779580923339e-02,-2.003999999999999532e-02
7.778000000000000469e-01,6.423299999999999566e-01,1.575999999999999970e-02,2.000000000000000000e+00,6.089052982460674279e-02,5.299999999999993605e-02,-3.691266443038521139e-02,-3.846999999999999725e-02
7.778000000000000469e-01,6.544999999999999707e-01,1.636999999999999914e-02,2.066699999999999982e+00,6.997517703300726311e-02,7.999999999999962697e-02,-2.965545335072228283e-02,-3.654999999999999222e-02
7.778000000000000469e-01,6.670700000000000518e-01,1.693000000000000060e-02,2.133300000000000196e+00,7.768186984332259293e-02,1.089999999999999858e-01,-2.274417518360860591e-02,-3.452000000000001595e-02
7.778000000000000469e-01,6.783400000000000540e-01,1.752000000000000085e-02,2.200000000000000178e+00,8.588740777918046909e-02,1.359999999999996767e-01,-1.578570281033564449e-02,-3.215000000000000496e-02
7.778000000000000469e-01,6.900500000000000522e-01,1.808999999999999844e-02,2.266700000000000159e+00,9.342933834166355922e-02,1.699999999999999289e-01,-9.337168723282385230e-03,-3.010000000000000869e-02
7.778000000000000469e-01,7.008900000000000130e-01,1.858999999999999889e-02,2.333299999999999930e+00,9.958026081902593418e-02,1.929999999999996163e-01,-3.595508494181887116e-03,-2.775999999999999995e-02
7.778000000000000469e-01,7.111899999999999888e-01,1.913000000000000117e-02,2.399999999999999911e+00,1.060757795291076278e-01,2.169999999999996376e-01,2.325850968077913805e-03,-2.516000000000000875e-02
