Group numbers,Specimen material,Test type,
,,,
,,,
Results Table 1,,,
,Group numbers,Specimen material,Test type
2,17,erethane_foam,compression
,,,
Results Table 2,,,
,,,
,,,
,,,
Time,Displacement,Force,
(s),(mm),(N),
57.2,1.90709,10.81812,
57.3,1.91014,10.90516,
57.4,1.9132,10.78626,
57.5,1.917,10.7142,
57.6,1.92011,10.49928,
57.7,1.92327,10.80322,
57.8,1.92702,10.8023,
57.9,1.93007,10.77001,
58,1.93329,10.64552,
58.1,1.93687,10.77207,
58.2,1.94009,10.85092,
58.3,1.94336,10.66147,
58.4,1.94684,10.86947,
58.5,1.95016,10.81252,
58.6,1.95338,10.66387,
58.7,1.95675,10.79246,
58.8,1.96018,10.74571,
58.9,1.96339,10.66682,
59,1.96671,10.70222,
59.1,1.97025,10.7109,
59.2,1.97341,10.79635,
59.3,1.97663,10.7723,
59.4,1.98027,10.72617,
59.5,1.98343,10.70684,
59.6,1.98659,10.66235,
59.7,1.99029,10.76967,
59.8,1.99339,10.71206,
59.9,1.99655,10.81296,
60,2.00036,10.6687,
60.1,2.00341,10.82444,
60.2,2.00657,10.73952,
60.3,2.01038,10.88859,
60.4,2.01343,10.86375,
60.5,2.01654,10.90295,
60.6,2.02045,10.74004,
60.7,2.02345,10.68393,
60.8,2.0265,10.79465,
60.9,2.03046,10.8643,
61,2.03346,10.6214,
61.1,2.03646,10.65353,
61.2,2.04048,10.8216,
61.3,2.04343,10.77215,
61.4,2.04648,10.84374,
61.5,2.0505,10.66867,
61.6,2.05345,10.90611,
61.7,2.0565,10.92467,
61.8,2.06046,10.76567,
61.9,2.06346,10.91968,
62,2.06652,10.83992,
62.1,2.07043,10.84634,
62.2,2.07343,10.93275,
62.3,2.07654,10.95829,
62.4,2.08034,10.80815,
62.5,2.08339,10.92412,
62.6,2.08661,10.88898,
62.7,2.0903,11.00657,
62.8,2.09341,10.87095,
62.9,2.09668,10.97335,
63,2.10021,11.14584,
63.1,2.10348,10.93062,
63.2,2.1067,10.8986,
63.3,2.11018,11.09992,
63.4,2.1135,11.01604,
63.5,2.11671,11.04178,
63.6,2.12014,10.84094,
63.7,2.12352,11.00682,
63.8,2.12668,11.04018,
63.9,2.13005,11.02425,
64,2.13359,11.19453,
64.1,2.1367,10.98693,
64.2,2.14002,10.98606,
64.3,2.14355,11.03085,
64.4,2.14677,10.88827,
64.5,2.14998,11.1181,
64.6,2.15357,10.97579,
64.7,2.15673,11.08486,
64.8,2.15995,11.13866,
64.9,2.16364,11.22742,
65,2.16675,11.04386,
65.1,2.16991,10.91317,
65.2,2.17371,11.06534,
65.3,2.17682,11.04243,
65.4,2.17988,11.17892,
65.5,2.18379,10.96323,
65.6,2.18679,11.02548,
65.7,2.18979,11.24596,
65.8,2.1938,11.18348,
65.9,2.19675,11.0481,
66,2.1998,11.06038,
66.1,2.20382,11.31576,
66.2,2.20671,10.95367,
66.3,2.20982,11.20492,
66.4,2.21384,11.00925,
66.5,2.21673,11.22794,
66.6,2.21984,11.12007,
66.7,2.2238,11.0725,
66.8,2.22675,11.22052,
66.9,2.22991,11.26938,
67,2.23377,11.38019,
67.1,2.23671,11.22237,
67.2,2.23993,11.35816,
67.3,2.24362,11.26949,
67.4,2.24679,11.3381,
67.5,2.24995,11.20162,
67.6,2.25364,11.53706,
67.7,2.2568,11.27981,
67.8,2.25996,11.40284,
67.9,2.26355,11.50713,
68,2.26682,11.21427,
68.1,2.26998,11.42298,
68.2,2.27352,11.40178,
68.3,2.27684,11.39735,
68.4,2.28,11.28908,
68.5,2.28348,11.54132,
68.6,2.28686,11.57893,
68.7,2.29002,11.52329,
