Group numbers,Specimen material,Test type
"","",""

Results Table 1
,Group numbers,Specimen material,Test type
"1","17","polystyrene","compression"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"35.70000","1.36527","49.70716"
"35.80000","1.36854","50.13629"
"35.90000","1.37186","50.43661"
"36.00000","1.37534","50.56908"
"36.10000","1.37855","50.82657"
"36.20000","1.38182","50.98271"
"36.30000","1.38536","51.56783"
"36.40000","1.38857","51.56090"
"36.50000","1.39173","51.90858"
"36.60000","1.39543","52.20626"
"36.70000","1.39859","52.30959"
"36.80000","1.40170","52.58709"
"36.90000","1.40545","52.94604"
"37.00000","1.40855","53.19537"
"37.10000","1.41166","53.37963"
"37.20000","1.41552","53.66756"
"37.30000","1.41857","53.84691"
"37.40000","1.42168","54.18858"
"37.50000","1.42559","54.35181"
"37.60000","1.42854","54.66801"
"37.70000","1.43164","54.80658"
"37.80000","1.43561","55.24189"
"37.90000","1.43855","55.45900"
"38.00000","1.44166","55.62584"
"38.10000","1.44562","55.80759"
"38.20000","1.44852","55.99393"
"38.30000","1.45168","56.35181"
"38.40000","1.45559","56.48605"
"38.50000","1.45859","56.68002"
"38.60000","1.46170","56.98457"
"38.70000","1.46550","57.41531"
"38.80000","1.46861","57.54084"
"38.90000","1.47171","57.81978"
"39.00000","1.47552","58.01908"
"39.10000","1.47862","58.20157"
"39.20000","1.48173","58.31908"
"39.30000","1.48548","58.81152"
"39.40000","1.48859","58.88364"
"39.50000","1.49175","59.11637"
"39.60000","1.49539","59.36413"
"39.70000","1.49861","59.75661"
"39.80000","1.50177","59.76439"
"39.90000","1.50536","60.14040"
"40.00000","1.50857","60.43564"
"40.10000","1.51184","60.75842"
"40.20000","1.51532","60.82083"
"40.30000","1.51859","60.87246"
"40.40000","1.52186","61.28516"
"40.50000","1.52529","61.48363"
"40.60000","1.52861","61.81907"
"40.70000","1.53188","61.72367"
"40.80000","1.53520","62.12329"
"40.90000","1.53868","62.44377"
"41.00000","1.54189","62.54974"
"41.10000","1.54516","62.68525"
"41.20000","1.54875","62.99976"
"41.30000","1.55191","63.08498"
"41.40000","1.55507","63.43367"
"41.50000","1.55877","63.77881"
"41.60000","1.56193","63.97099"
"41.70000","1.56504","63.97120"
"41.80000","1.56879","64.46736"
"41.90000","1.57189","64.34012"
"42.00000","1.57500","64.77000"
"42.10000","1.57886","64.87815"
"42.20000","1.58191","65.16869"
"42.30000","1.58502","65.32587"
"42.40000","1.58887","65.60533"
"42.50000","1.59187","65.66185"
"42.60000","1.59498","65.93973"
"42.70000","1.59889","66.26289"
"42.80000","1.60189","66.30354"
"42.90000","1.60500","66.73382"
"43.00000","1.60891","66.78916"
"43.10000","1.61196","66.99536"
"43.20000","1.61496","67.28838"
"43.30000","1.61893","67.46535"
"43.40000","1.62193","67.51202"
"43.50000","1.62493","67.85007"
"43.60000","1.62889","68.22047"
"43.70000","1.63189","68.35475"
"43.80000","1.63500","68.57166"
"43.90000","1.63891","68.55240"
"44.00000","1.64191","68.91740"
"44.10000","1.64502","69.07760"
"44.20000","1.64887","69.35768"
"44.30000","1.65188","69.45718"
"44.40000","1.65504","69.63513"
"44.50000","1.65879","69.93471"
"44.60000","1.66189","70.12818"
"44.70000","1.66511","70.30408"
"44.80000","1.66870","70.50314"
"44.90000","1.67191","70.81619"
"45.00000","1.67518","71.11060"
"45.10000","1.67861","71.06451"
"45.20000","1.68193","71.43674"
"45.30000","1.68520","71.39928"
"45.40000","1.68852","71.61693"
"45.50000","1.69200","71.96595"
"45.60000","1.69521","71.98811"
"45.70000","1.69848","72.33011"
"45.80000","1.70207","72.54340"
"45.90000","1.70523","72.73981"
"46.00000","1.70845","72.97063"
"46.10000","1.71209","73.22517"
"46.20000","1.71525","73.29504"
"46.30000","1.71841","73.55102"
"46.40000","1.72205","73.74589"
"46.50000","1.72521","73.99352"
"46.60000","1.72837","74.06104"
"46.70000","1.73207","74.43826"
"46.80000","1.73523","74.56996"
"46.90000","1.73839","74.81448"
"47.00000","1.74214","75.02771"
"47.10000","1.74525","75.21854"
"47.20000","1.74836","75.22145"
"47.30000","1.75216","75.68146"
"47.40000","1.75527","75.75027"
"47.50000","1.75832","75.85105"
"47.60000","1.76223","76.16667"
"47.70000","1.76529","76.47106"
"47.80000","1.76829","76.50005"
"47.90000","1.77230","76.86415"
"48.00000","1.77525","76.95899"
"48.10000","1.77830","77.05348"
"48.20000","1.78227","77.46993"
"48.30000","1.78521","77.63376"
"48.40000","1.78827","77.72524"
"48.50000","1.79229","78.09956"
"48.60000","1.79523","78.01356"
"48.70000","1.79834","78.39546"
"48.80000","1.80225","78.47666"
"48.90000","1.80520","78.62811"
"49.00000","1.80836","79.01376"
"49.10000","1.81221","79.12450"
"49.20000","1.81521","79.28242"
"49.30000","1.81843","79.67127"
"49.40000","1.82212","79.80305"
"49.50000","1.82529","79.90596"
"49.60000","1.82845","79.92638"
"49.70000","1.83204","80.14465"
"49.80000","1.83525","80.48730"
"49.90000","1.83846","80.49026"
"50.00000","1.84200","80.77154"
"50.10000","1.84532","80.92945"
"50.20000","1.84848","81.14912"
"50.30000","1.85196","81.34282"
"50.40000","1.85534","81.55750"
"50.50000","1.85850","81.69313"
"50.60000","1.86193","81.95641"
"50.70000","1.86536","82.19262"
"50.80000","1.86852","82.21799"
"50.90000","1.87184","82.57120"
"51.00000","1.87532","82.66251"
"51.10000","1.87859","82.88324"
"51.20000","1.88180","82.85095"
"51.30000","1.88539","83.26415"
"51.40000","1.88855","83.28400"
"51.50000","1.89171","83.45085"
"51.60000","1.89546","83.78704"
"51.70000","1.89862","83.99855"
"51.80000","1.90168","84.10971"
"51.90000","1.90554","84.35811"
"52.00000","1.90859","84.36235"
"52.10000","1.91164","84.74540"
"52.20000","1.91561","84.81887"
"52.30000","1.91855","85.01334"
"52.40000","1.92161","85.19845"
"52.50000","1.92562","85.55009"
"52.60000","1.92857","85.46651"
"52.70000","1.93162","85.62616"
"52.80000","1.93559","85.92532"
"52.90000","1.93854","86.02560"
"53.00000","1.94164","86.13610"
"53.10000","1.94561","86.63859"
"53.20000","1.94850","86.62296"
"53.30000","1.95166","86.73724"
"53.40000","1.95557","87.00679"
"53.50000","1.95857","87.15926"
"53.60000","1.96168","87.43155"
"53.70000","1.96559","87.49760"
"53.80000","1.96859","87.70560"
"53.90000","1.97170","87.77970"
"54.00000","1.97550","87.90643"
"54.10000","1.97861","88.33233"
"54.20000","1.98171","88.38980"
"54.30000","1.98552","88.60810"
"54.40000","1.98857","88.83617"
"54.50000","1.99173","89.04476"
"54.60000","1.99543","89.31722"
"54.70000","1.99859","89.40936"
"54.80000","2.00175","89.37487"
"54.90000","2.00539","89.81857"
"55.00000","2.00861","89.93513"
"55.10000","2.01182","89.98754"
"55.20000","2.01536","90.19579"
"55.30000","2.01863","90.39252"
"55.40000","2.02184","90.50266"
"55.50000","2.02527","90.57938"
"55.60000","2.02859","90.92052"
"55.70000","2.03186","90.91612"
"55.80000","2.03518","91.23872"
"55.90000","2.03871","91.44062"
"56.00000","2.04193","91.64667"
"56.10000","2.04514","91.73769"
"56.20000","2.04873","91.95505"
"56.30000","2.05189","92.00317"
"56.40000","2.05505","92.12888"
"56.50000","2.05875","92.76008"
"56.60000","2.06191","92.43524"
"56.70000","2.06507","92.87354"
"56.80000","2.06882","92.99390"
"56.90000","2.07188","93.19041"
"57.00000","2.07504","93.43134"
"57.10000","2.07889","93.70904"
"57.20000","2.08189","93.50439"
"57.30000","2.08500","93.83088"
"57.40000","2.08886","93.93570"
"57.50000","2.09191","94.11969"
"57.60000","2.09502","94.24670"
"57.70000","2.09893","94.36974"
"57.80000","2.10193","94.53334"
"57.90000","2.10498","94.64795"
"58.00000","2.10889","95.03669"
"58.10000","2.11195","95.14956"
"58.20000","2.11495","95.39944"
"58.30000","2.11896","95.62292"
"58.40000","2.12191","95.75275"
"58.50000","2.12496","96.17677"
"58.60000","2.12893","96.16222"
"58.70000","2.13188","96.16867"
"58.80000","2.13504","96.31769"
"58.90000","2.13889","96.48402"
"59.00000","2.14189","96.85156"
"59.10000","2.14505","96.88824"
"59.20000","2.14886","97.04966"
"59.30000","2.15191","97.35315"
"59.40000","2.15507","97.24646"
"59.50000","2.15877","97.44878"
"59.60000","2.16188","97.74026"
"59.70000","2.16514","97.93497"
"59.80000","2.16873","98.17860"
"59.90000","2.17189","98.22239"
"60.00000","2.17516","98.26494"
"60.10000","2.17864","98.57122"
"60.20000","2.18196","98.78026"
"60.30000","2.18523","98.85111"
"60.40000","2.18861","98.96589"
"60.50000","2.19198","99.33283"
"60.60000","2.19520","99.37370"
"60.70000","2.19857","99.42570"
"60.80000","2.20205","99.80669"
"60.90000","2.20521","99.97038"
"61.00000","2.20848","100.10616"
"61.10000","2.21202","100.30820"
"61.20000","2.21523","100.14446"
"61.30000","2.21845","100.56095"
"61.40000","2.22209","100.71657"
"61.50000","2.22525","100.77394"
"61.60000","2.22841","100.99040"
"61.70000","2.23211","101.28697"
"61.80000","2.23527","101.15593"
"61.90000","2.23838","101.54841"
"62.00000","2.24218","101.81812"
"62.10000","2.24523","101.75135"
"62.20000","2.24834","101.85445"
"62.30000","2.25220","102.14102"
"62.40000","2.25525","102.24876"
"62.50000","2.25830","102.37745"
"62.60000","2.26227","102.55001"
"62.70000","2.26527","102.89301"
"62.80000","2.26827","102.90915"
"62.90000","2.27229","103.15494"
"63.00000","2.27523","103.26523"
"63.10000","2.27829","103.36275"
"63.20000","2.28230","103.71558"
"63.30000","2.28525","103.59534"
"63.40000","2.28830","103.88081"
"63.50000","2.29227","104.09947"
"63.60000","2.29521","104.13476"
"63.70000","2.29832","104.32245"
"63.80000","2.30223","104.47126"
"63.90000","2.30523","104.69687"
"64.00000","2.30839","104.90783"
"64.10000","2.31214","104.93191"
"64.20000","2.31520","105.29053"
"64.30000","2.31841","105.25798"
"64.40000","2.32211","105.47308"
"64.50000","2.32527","105.66872"
"64.60000","2.32843","105.53840"
"64.70000","2.33202","105.99139"
"64.80000","2.33529","106.11926"
"64.90000","2.33850","106.26610"
"65.00000","2.34198","106.29842"
"65.10000","2.34530","106.59905"
"65.20000","2.34846","106.54720"
"65.30000","2.35189","106.93623"
"65.40000","2.35532","106.90333"
"65.50000","2.35854","107.24265"
"65.60000","2.36191","107.24365"
"65.70000","2.36534","107.47805"
"65.80000","2.36855","107.47521"
"65.90000","2.37182","107.71183"
"66.00000","2.37536","107.99746"
"66.10000","2.37857","108.05959"
"66.20000","2.38184","108.21902"
"66.30000","2.38538","108.42199"
"66.40000","2.38859","108.55478"
"66.50000","2.39175","108.72470"
"66.60000","2.39545","108.79637"
"66.70000","2.39861","108.97533"
"66.80000","2.40171","108.89690"
"66.90000","2.40546","109.22466"
"67.00000","2.40863","109.40935"
"67.10000","2.41168","109.56200"
"67.20000","2.41554","109.80613"
"67.30000","2.41859","109.92466"
"67.40000","2.42164","109.65033"
"67.50000","2.42555","110.23138"
"67.60000","2.42855","110.21145"
"67.70000","2.43161","110.43184"
"67.80000","2.43563","110.49884"
"67.90000","2.43857","110.79644"
"68.00000","2.44168","110.97343"
"68.10000","2.44559","111.04601"
"68.20000","2.44859","111.13053"
"68.30000","2.45164","111.43688"
"68.40000","2.45561","111.28970"
"68.50000","2.45855","111.50065"
"68.60000","2.46166","111.75122"
"68.70000","2.46557","111.88715"
"68.80000","2.46863","112.04382"
"68.90000","2.47168","111.97910"
"69.00000","2.47554","112.32558"
"69.10000","2.47859","112.61246"
"69.20000","2.48170","112.46077"
"69.30000","2.48550","112.79604"
"69.40000","2.48861","112.87536"
"69.50000","2.49171","112.99576"
"69.60000","2.49546","113.18699"
"69.70000","2.49857","113.21362"
"69.80000","2.50179","113.36047"
"69.90000","2.50543","113.72032"
"70.00000","2.50859","113.71381"
"70.10000","2.51180","113.79938"
"70.20000","2.51529","113.88107"
