Group numbers,Specimen material,Test type
"","",""

Results Table 1
,Group numbers,Specimen material,Test type
"2","17","ethefoam","compression"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"38.00000","1.26675","14.44195"
"38.10000","1.26991","14.60228"
"38.20000","1.27345","14.63099"
"38.30000","1.27677","14.64149"
"38.40000","1.27993","14.60623"
"38.50000","1.28341","14.54955"
"38.60000","1.28679","14.84917"
"38.70000","1.29000","14.75399"
"38.80000","1.29332","14.92083"
"38.90000","1.29680","14.89159"
"39.00000","1.30002","14.81508"
"39.10000","1.30329","14.91225"
"39.20000","1.30687","15.07668"
"39.30000","1.31004","15.05249"
"39.40000","1.31320","15.22893"
"39.50000","1.31689","15.32279"
"39.60000","1.32005","15.09918"
"39.70000","1.32316","15.08099"
"39.80000","1.32691","15.32594"
"39.90000","1.33007","15.15636"
"40.00000","1.33313","15.30277"
"40.10000","1.33704","15.38126"
"40.20000","1.34009","15.34476"
"40.30000","1.34309","15.44227"
"40.40000","1.34705","15.38406"
"40.50000","1.35005","15.55869"
"40.60000","1.35305","15.62290"
"40.70000","1.35707","15.65474"
"40.80000","1.36002","15.65893"
"40.90000","1.36307","15.70753"
"41.00000","1.36709","15.90515"
"41.10000","1.36998","15.83063"
"41.20000","1.37309","16.02060"
"41.30000","1.37705","15.86908"
"41.40000","1.38000","15.93250"
"41.50000","1.38311","16.00052"
"41.60000","1.38707","15.94180"
"41.70000","1.39002","15.96804"
"41.80000","1.39312","16.19110"
"41.90000","1.39698","16.06931"
"42.00000","1.40004","16.11860"
"42.10000","1.40320","15.94536"
"42.20000","1.40695","16.19813"
"42.30000","1.41005","16.31140"
"42.40000","1.41321","16.32786"
"42.50000","1.41691","16.39471"
"42.60000","1.42007","16.26561"
"42.70000","1.42318","16.33490"
"42.80000","1.42687","16.42267"
"42.90000","1.43004","16.34921"
"43.00000","1.43320","16.45610"
"43.10000","1.43684","16.50571"
"43.20000","1.44005","16.47729"
"43.30000","1.44327","16.47276"
"43.40000","1.44680","16.67836"
"43.50000","1.45007","16.83089"
"43.60000","1.45329","16.57518"
"43.70000","1.45671","16.67122"
"43.80000","1.46009","16.89556"
"43.90000","1.46330","16.69053"
"44.00000","1.46662","16.97991"
"44.10000","1.47016","16.86353"
"44.20000","1.47337","16.84230"
"44.30000","1.47659","16.97778"
"44.40000","1.48023","17.09281"
"44.50000","1.48339","16.99396"
"44.60000","1.48650","17.21009"
"44.70000","1.49025","17.15616"
"44.80000","1.49336","17.14725"
"44.90000","1.49646","17.24446"
"45.00000","1.50032","17.34117"
"45.10000","1.50337","17.39328"
"45.20000","1.50648","17.27507"
"45.30000","1.51034","17.40776"
"45.40000","1.51334","17.35233"
"45.50000","1.51645","17.47431"
"45.60000","1.52036","17.54082"
"45.70000","1.52336","17.54390"
"45.80000","1.52646","17.61751"
"45.90000","1.53038","17.66357"
"46.00000","1.53338","17.70723"
"46.10000","1.53643","17.53806"
"46.20000","1.54039","17.66247"
"46.30000","1.54339","17.61198"
"46.40000","1.54645","17.75735"
"46.50000","1.55041","17.66879"
"46.60000","1.55341","17.91047"
"46.70000","1.55646","18.03744"
"46.80000","1.56037","18.02450"
"46.90000","1.56337","18.23368"
"47.00000","1.56648","18.11804"
"47.10000","1.57034","18.11126"
"47.20000","1.57334","18.36989"
"47.30000","1.57650","18.34165"
"47.40000","1.58030","18.24936"
"47.50000","1.58336","18.37273"
"47.60000","1.58657","18.39642"
"47.70000","1.59021","18.31806"
"47.80000","1.59337","18.39186"
"47.90000","1.59659","18.45460"
"48.00000","1.60012","18.56756"
"48.10000","1.60334","18.31010"
"48.20000","1.60666","18.49145"
"48.30000","1.61009","18.52316"
"48.40000","1.61341","18.69717"
"48.50000","1.61662","18.88239"
"48.60000","1.62005","18.53343"
"48.70000","1.62343","18.88667"
"48.80000","1.62664","18.73889"
"48.90000","1.62996","18.71185"
"49.00000","1.63355","18.60716"
"49.10000","1.63666","18.93040"
"49.20000","1.63993","18.83683"
"49.30000","1.64352","19.01508"
"49.40000","1.64668","18.86171"
"49.50000","1.64989","19.09800"
"49.60000","1.65354","19.07097"
"49.70000","1.65670","19.21079"
"49.80000","1.65986","19.13568"
"49.90000","1.66355","19.14894"
"50.00000","1.66671","19.25241"
"50.10000","1.66982","19.40801"
"50.20000","1.67362","19.30418"
"50.30000","1.67673","19.46755"
"50.40000","1.67979","19.39876"
"50.50000","1.68370","19.48859"
"50.60000","1.68675","19.45662"
"50.70000","1.68975","19.47644"
"50.80000","1.69371","19.51767"
"50.90000","1.69671","19.63315"
"51.00000","1.69971","19.64001"
"51.10000","1.70373","19.60636"
"51.20000","1.70673","19.78037"
"51.30000","1.70973","19.88803"
"51.40000","1.71380","19.81816"
"51.50000","1.71664","19.80625"
"51.60000","1.71975","19.79864"
"51.70000","1.72377","20.02351"
"51.80000","1.72666","19.89745"
"51.90000","1.72982","19.99290"
"52.00000","1.73368","20.00805"
"52.10000","1.73668","19.79868"
"52.20000","1.73989","20.25458"
"52.30000","1.74359","20.20378"
"52.40000","1.74670","20.36355"
"52.50000","1.74991","20.20310"
"52.60000","1.75350","20.19126"
"52.70000","1.75671","20.39363"
"52.80000","1.75987","20.39650"
"52.90000","1.76346","20.27575"
"53.00000","1.76679","20.46401"
"53.10000","1.76995","20.64285"
"53.20000","1.77337","20.60518"
"53.30000","1.77675","20.59936"
"53.40000","1.77996","20.57157"
"53.50000","1.78334","20.55528"
"53.60000","1.78677","20.68236"
"53.70000","1.78998","20.70434"
"53.80000","1.79330","20.68479"
"53.90000","1.79684","20.89314"
"54.00000","1.80000","20.79692"
"54.10000","1.80327","20.88383"
"54.20000","1.80680","20.80683"
"54.30000","1.81002","20.99827"
"54.40000","1.81323","21.09653"
"54.50000","1.81682","21.00139"
"54.60000","1.82004","21.09246"
"54.70000","1.82320","21.20315"
"54.80000","1.82689","21.15489"
"54.90000","1.83005","21.08543"
"55.00000","1.83316","20.97191"
"55.10000","1.83696","21.29140"
"55.20000","1.84002","21.06636"
"55.30000","1.84312","21.27973"
"55.40000","1.84704","21.45585"
"55.50000","1.85004","21.31668"
"55.60000","1.85309","21.24205"
"55.70000","1.85705","21.30713"
"55.80000","1.86000","21.36844"
"55.90000","1.86305","21.56720"
"56.00000","1.86707","21.43988"
"56.10000","1.87002","21.31099"
"56.20000","1.87312","21.48293"
"56.30000","1.87704","21.66306"
"56.40000","1.87998","21.43102"
"56.50000","1.88309","21.57197"
"56.60000","1.88705","21.71050"
"56.70000","1.89005","21.67914"
"56.80000","1.89311","21.74690"
"56.90000","1.89702","21.77744"
"57.00000","1.90007","21.70771"
"57.10000","1.90318","21.80982"
"57.20000","1.90698","21.81623"
"57.30000","1.91004","21.91535"
"57.40000","1.91320","22.08385"
"57.50000","1.91689","22.11624"
"57.60000","1.92005","22.16828"
"57.70000","1.92321","22.16433"
"57.80000","1.92691","22.02929"
"57.90000","1.93007","22.22957"
"58.00000","1.93323","22.24621"
"58.10000","1.93682","22.27425"
"58.20000","1.94004","22.28333"
"58.30000","1.94330","22.15617"
"58.40000","1.94673","22.34513"
"58.50000","1.95011","22.41841"
"58.60000","1.95332","22.27052"
"58.70000","1.95664","22.53718"
"58.80000","1.96007","22.34733"
"58.90000","1.96334","22.66726"
"59.00000","1.96655","22.47246"
"59.10000","1.97020","22.63629"
"59.20000","1.97341","22.45048"
"59.30000","1.97652","22.79847"
"59.40000","1.98021","22.81495"
"59.50000","1.98338","22.76541"
"59.60000","1.98648","22.80459"
"59.70000","1.99034","22.91081"
"59.80000","1.99339","22.90004"
"59.90000","1.99645","23.08384"
"60.00000","2.00030","22.98566"
"60.10000","2.00336","23.15136"
"60.20000","2.00646","22.96150"
"60.30000","2.01032","23.15091"
"60.40000","2.01332","23.23172"
"60.50000","2.01643","23.16541"
"60.60000","2.02034","22.95572"
"60.70000","2.02334","23.19612"
"60.80000","2.02645","23.22580"
"60.90000","2.03036","23.14955"
"61.00000","2.03336","23.24134"
"61.10000","2.03646","23.35569"
"61.20000","2.04037","23.25243"
"61.30000","2.04338","23.14927"
"61.40000","2.04643","23.43891"
"61.50000","2.05039","23.60291"
"61.60000","2.05334","23.34722"
"61.70000","2.05645","23.51687"
"61.80000","2.06036","23.50507"
"61.90000","2.06336","23.75656"
"62.00000","2.06646","23.79894"
"62.10000","2.07032","23.63192"
"62.20000","2.07332","23.59722"
"62.30000","2.07648","23.72873"
"62.40000","2.08034","23.77744"
"62.50000","2.08334","23.78164"
"62.60000","2.08655","23.86626"
"62.70000","2.09025","23.74482"
"62.80000","2.09336","23.85126"
"62.90000","2.09657","24.00918"
"63.00000","2.10016","24.03171"
"63.10000","2.10337","24.01682"
"63.20000","2.10659","24.11057"
"63.30000","2.11007","24.03693"
"63.40000","2.11345","24.15222"
"63.50000","2.11666","24.01514"
"63.60000","2.12004","24.11209"
"63.70000","2.12346","24.22731"
"63.80000","2.12668","24.26966"
"63.90000","2.12995","24.28220"
"64.00000","2.13348","24.40845"
"64.10000","2.13664","24.24122"
"64.20000","2.13991","24.47034"
"64.30000","2.14355","24.42155"
"64.40000","2.14666","24.64556"
"64.50000","2.14987","24.53825"
"64.60000","2.15357","24.77089"
"64.70000","2.15668","24.65821"
"64.80000","2.15984","24.64927"
"64.90000","2.16359","24.80733"
"65.00000","2.16670","24.68512"
"65.10000","2.16980","24.88095"
"65.20000","2.17366","24.83290"
"65.30000","2.17671","24.89086"
"65.40000","2.17977","24.67954"
"65.50000","2.18368","24.99563"
"65.60000","2.18673","24.88221"
"65.70000","2.18973","24.88493"
"65.80000","2.19375","24.95910"
"65.90000","2.19675","25.08554"
"66.00000","2.19975","25.01893"
"66.10000","2.20377","25.08109"
"66.20000","2.20671","25.09142"
"66.30000","2.20977","25.17776"
"66.40000","2.21373","25.33451"
"66.50000","2.21668","25.13040"
"66.60000","2.21979","25.30384"
"66.70000","2.22375","25.33677"
"66.80000","2.22664","25.23300"
"66.90000","2.22980","25.21172"
"67.00000","2.23366","25.45141"
"67.10000","2.23666","25.50718"
"67.20000","2.23982","25.57479"
"67.30000","2.24362","25.45995"
"67.40000","2.24668","25.43616"
"67.50000","2.24989","25.60515"
"67.60000","2.25354","25.62242"
"67.70000","2.25670","25.84195"
"67.80000","2.25991","25.65601"
"67.90000","2.26350","25.70597"
"68.00000","2.26671","25.67426"
"68.10000","2.26993","25.81222"
"68.20000","2.27346","25.77083"
"68.30000","2.27679","25.96671"
"68.40000","2.27995","25.97970"
"68.50000","2.28338","25.95270"
"68.60000","2.28675","26.06961"
"68.70000","2.28996","26.04083"
"68.80000","2.29334","26.07092"
"68.90000","2.29677","26.00834"
"69.00000","2.29998","26.15941"
"69.10000","2.30330","26.29216"
"69.20000","2.30679","26.27148"
"69.30000","2.31000","26.26762"
"69.40000","2.31327","26.47869"
"69.50000","2.31686","26.16207"
"69.60000","2.32002","26.18618"
"69.70000","2.32318","26.40746"
"69.80000","2.32693","26.47450"
"69.90000","2.33009","26.51742"
"70.00000","2.33314","26.55016"
"70.10000","2.33700","26.50267"
"70.20000","2.34005","26.48214"
"70.30000","2.34311","26.46862"
"70.40000","2.34702","26.47310"
"70.50000","2.35007","26.50098"
"70.60000","2.35313","26.71377"
"70.70000","2.35709","26.74113"
"70.80000","2.35998","26.61762"
"70.90000","2.36309","26.75704"
"71.00000","2.36711","26.72824"
"71.10000","2.37000","26.86477"
"71.20000","2.37311","26.83582"
"71.30000","2.37707","26.94907"
